County,Electric,Plug-In Hybrid*,Electric and Plug-In Hybrid Total
Alamance,376,170,546
Alexander,29,33,62
Alleghany,15,9,24
Anson,8,4,12
Ashe,27,18,45
Avery,30,7,37
Beaufort,64,27,91
Bertie,6,4,10
Bladen,20,9,29
Brunswick,399,222,621
Buncombe,1676,900,2576
Burke,114,60,174
Cabarrus,931,289,1220
Caldwell,94,60,154
Camden,18,12,30
Carteret,173,81,254
Caswell,12,12,24
Catawba,312,176,488
Chatham,782,294,1076
Cherokee,30,31,61
Chowan,17,10,27
Clay,21,23,44
Cleveland,94,45,139
Columbus,20,15,35
Craven,152,106,258
Cumberland,578,291,869
Currituck,84,35,119
Dare,138,92,230
Davidson,222,119,341
Davie,103,51,154
Duplin,28,27,55
Durham,2116,912,3028
Edgecombe,23,23,46
Forsyth,923,465,1388
Franklin,136,66,202
Gaston,439,196,635
Gates,6,6,12
Graham,5,7,12
Granville,97,53,150
Greene,8,6,14
Guilford,1621,628,2249
Halifax,36,13,49
Harnett,274,154,428
Haywood,127,87,214
Henderson,345,201,546
Hertford,13,4,17
Hoke,79,51,130
Hyde,2,2,4
Iredell,688,282,970
Jackson,83,68,151
Johnston,518,233,751
Jones,6,5,11
Lee,115,70,185
Lenoir,42,25,67
Lincoln,250,125,375
Macon,93,54,147
Madison,51,24,75
Martin,6,10,16
McDowell,76,43,119
Mecklenburg,6601,2189,8790
Mitchell,22,11,33
Montgomery,39,15,54
Moore,435,187,622
Nash,98,47,145
New Hanover,908,417,1325
Northampton,7,5,12
Onslow,264,174,438
Orange,1586,678,2264
Pamlico,21,19,40
Pasquotank,42,37,79
Pender,146,74,220
Perquimans,15,18,33
Person,49,23,72
Pitt,273,150,423
Polk,62,35,97
Randolph,143,82,225
Richmond,30,12,42
Robeson,60,31,91
Rockingham,74,53,127
Rowan,205,115,320
Rutherford,71,49,120
Sampson,21,20,41
Scotland,17,10,27
Stanly,72,42,114
Stokes,44,29,73
Surry,79,45,124
Swain,19,13,32
Transylvania,142,57,199
Tyrrell,1,3,4
Union,1367,410,1777
Vance,34,19,53
Wake,10177,3204,13381
Warren,26,14,40
Washington,10,4,14
Watauga,161,82,243
Wayne,121,60,181
Wilkes,46,31,77
Wilson,76,40,116
Yadkin,36,21,57
Yancey,23,31,54
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
