Station Name,Street Address,City,ZIP,Station Phone,Groups With Access Code,Latitude,Longitude,ID
City of Raleigh - Municipal Building,285 W Hargett St,Raleigh,27601,919-996-3030,Public,35.778416,-78.64347,39016
City of Raleigh - Downtown,215 W Cabarrus St,Raleigh,27601,919-996-3030,Public,35.77435,-78.642287,39017
Modern Nissan - Concord,967 Concord Pkwy S,Concord,28027,704-788-2110,Public - Call ahead,35.392063,-80.622777,40066
Fred Anderson Nissan,4559 Raeford Rd,Fayetteville,28304,910-758-2338,Public - Call ahead,35.042419,-78.956747,40067
Vann Yorks High Point Nissan,1810 S Main St,High Point,27260,336-884-4122,Public - Call ahead,35.937981,-79.996012,40068
Nissan of Lumberton,1949 Roberts Ave,Lumberton,28358,910-739-8371,Public - Call ahead,34.634487,-78.997134,40069
Marriott Hotel - Underground Deck,1 E Lenoir St,Raleigh,27601,919-833-7522,Public,35.772881,-78.638502,40745
City of Raleigh - Performing Arts Center Deck,128 W South St,Raleigh,27601,919-996-3030,Public,35.772619,-78.641492,40747
City of Raleigh - Wilmington Station Deck,117 S Wilmington St,Raleigh,27601,919-996-3030,Public,35.77937,-78.638203,40751
Neal's Garage,1907 W Markham Ave,Durham,27705,919-286-1167,Public,36.009999,-78.921405,40854
Wilkerson Nature Preserve Park,11408 Raven Ridge Rd,Raleigh,27614,919-996-3030,Public,35.92353,-78.599883,41553
Raleigh Municipal Building Deck,201 W Morgan St,Raleigh,27601,919-996-3030,Public,35.779082,-78.641779,42396
City of Raleigh - Walnut Creek Wetland Center,950 Peterson St,Raleigh,27610,919-996-3030,Public,35.760503,-78.625345,42398
City of Raleigh - Optimist Park and Community Center,5910 Whittier Dr,Raleigh,27609,919-996-3030,Public,35.862603,-78.643641,42399
City of Raleigh - Jaycee Park and Community Center,2401 Wade Ave,Raleigh,27607,919-996-3030,Public,35.800443,-78.663445,42400
City of Raleigh - Wilders Grove,630 Beacon Lake Dr,Raleigh,27610,919-996-3030,Public,35.788789,-78.573106,42401
City of Raleigh - Transit Center,808 Bus Way,Raleigh,27610,919-996-3030,Private,35.767483,-78.563464,42402
City of Raleigh - Transit Center,808 Bus Way,Raleigh,27610,919-996-3030,Public,35.767483,-78.563464,42403
The Green Parking Garage,435 S Tryon St,Charlotte,28202,604-338-3232,Public,35.223874,-80.846273,42927
North Carolina State University - McKimmon Center and Solar House,1201 Gorman Ave,Raleigh,27606,919-515-0314,Public,35.78214,-78.6864,43324
Taylor Automotive,1007 Hawkins Ave,Sanford,27330,919-774-4037,Public,35.49416,-79.180591,43363
Carolina Nissan,1329 Huffman Mill Rd,Burlington,27215,336-584-0201,Public - Call ahead,36.063557,-79.503697,43876
Carolina Nissan,1329 Huffman Mill Rd,Burlington,27215,336-584-0201,Private,36.063557,-79.503697,43877
North Carolina State University - Joyner Visitor Center,1210 Varsity Dr,Raleigh,27606,919-513-1200,Public,35.784037,-78.684667,43880
Northern Wake Tech Community College,6600 Louisburg Rd,Raleigh,27616,919-532-5502,Public,35.867552,-78.543695,44301
Whole Foods Market,8710 Six Forks Rd,Raleigh,27615,919-354-0350,Public - Credit card at all times,35.898899,-78.650239,44302
Asheville Chamber of Commerce & Visitors Center,36 Montford Ave,Asheville,28801,828-258-6101  828-258-6129,Public,35.597527,-82.560582,44376
College Street Parking Deck,164 College St,Asheville,28801,828-259-5792,Public - Call ahead,35.597377,-82.549206,44377
Ingles Markets - Skyland Plaza,1865 Hendersonville Rd,Asheville,28803,828-274-0804,Public,35.499836,-82.522586,44378
FAYETTEVILLE NC FRANKLIN 2,208 Franklin St,Fayetteville,28301,888-758-4389,Public,35.052556,-78.880206,44944
"CHARLOTTE, NC CMGC STATION 4",232 S Davidson St,Charlotte,28202,888-758-4389,Public,35.221981,-80.839984,45854
"CHARLOTTE, NC MALLARD CK 02",1712 J N Pease Pl,Charlotte,28262,888-758-4389,Public,35.323848,-80.773027,45858
Michael Jordan Nissan,3930 Chapel Hill Blvd,Durham,27707,919-489-3800,Public - Call ahead,35.97051751,-78.95684759,46407
Friendship Nissan,156 Oak St Extension,Forest City,28043,888-667-0284,Public - Call ahead,35.334675,-81.892822,46996
Friendship Nissan,156 Oak St Extension,Forest City,28043,888-667-0284,Private,35.334675,-81.892822,46997
Gastonia Nissan,2755 E Franklin Blvd,Gastonia,28054,704-867-0000,Public - Call ahead,35.261109,-81.139708,46998
Gastonia Nissan,2755 E Franklin Blvd,Gastonia,28054,704-867-0000,Private,35.261109,-81.139708,46999
Deacon Jones Nissan,1220 W Grantham St,Goldsboro,27530,919-734-2411,Public - Call ahead,35.400146,-78.014743,47000
Crown Nissan,3900 W Wendover Ave,Greensboro,27407,,Public - Call ahead,36.060613,-79.876505,47003
Crown Nissan,3900 W Wendover Ave,Greensboro,27407,,Private,36.060613,-79.876505,47004
Greenville Nissan,991 Greenville Blvd SW,Greenville,27834,252-756-1738,Public - Call ahead,35.571982,-77.408327,47005
Greenville Nissan,991 Greenville Blvd SW,Greenville,27834,252-756-1738,Private,35.571982,-77.408327,47006
City of Hendersonville - Dogwood Parking Lot,411 N Church St,Hendersonville,28792,828-697-3000,Public,35.316931,-82.461565,47007
Hunter Nissan,1340 Spartanburg Hwy,Hendersonville,28792,828-697-2222,Public - Call ahead,35.301937,-82.440374,47008
Hunter Nissan,1340 Spartanburg Hwy,Hendersonville,28792,828-697-2222,Private,35.301937,-82.440374,47009
Modern Nissan - Hickory,840 US Highway 70 SE,Hickory,28602,828-324-5040,Public - Call ahead,35.710136,-81.321182,47010
Modern Nissan - Hickory,840 US Highway 70 SE,Hickory,28602,828-324-5040,Private,35.710136,-81.321182,47011
Vann Yorks High Point Nissan,1810 S Main St,High Point,27260,336-884-4122,Private,35.937981,-79.996012,47012
Don Williamson Nissan,310 Western Blvd,Jacksonville,28546,910-353-7700,Public - Call ahead,34.761337,-77.381386,47013
Don Williamson Nissan,310 Western Blvd,Jacksonville,28546,910-353-7700,Private,34.761337,-77.381386,47014
Montreat College,310 Appalachian Way,Montreat,28757,828-669-8012,Public,35.64569,-82.296916,47017
Eastern Carolina Nissan,3315 Highway 70 E,New Bern,28560,252-636-1000,Public - Call ahead,35.048239,-77.014397,47018
Eastern Carolina Nissan,3315 Highway 70 E,New Bern,28560,252-636-1000,Private,35.048239,-77.014397,47019
Reidsville Nissan,1123 Freeway Dr,Reidsville,27320,336-342-5741,Public - Call ahead,36.323241,-79.686657,47024
Reidsville Nissan,1123 Freeway Dr,Reidsville,27320,336-342-5741,Private,36.323241,-79.686657,47025
Nissan of Roanoke Rapids,407 Premier Blvd,Roanoke Rapids,27870,252-537-1041,Public - Call ahead,36.42331,-77.635287,47026
Griffin Nissan,1780 E Broad Ave,Rockingham,28379,910-997-5516,Public - Call ahead,34.918104,-79.744733,47028
Simmons Nissan,1994 Rockford St,Mt. Airy,27030,336-786-8371,Public - Call ahead,36.480616,-80.616003,47029
Simmons Nissan,1994 Rockford St,Mt. Airy,27030,336-786-8371,Private,36.480616,-80.616003,47030
Griffin Nissan,1780 E Broad Ave,Rockingham,28379,910-997-5516,Private,34.918104,-79.744733,47031
Ben Mynatt Nissan,629 Jake Alexander Blvd S,Salisbury,28147,704-633-7270,Public - Call ahead,35.644549,-80.488272,47032
Ben Mynatt Nissan,629 Jake Alexander Blvd S,Salisbury,28147,704-633-7270,Private,35.644549,-80.488272,47033
Classic Nissan - Sanford,3305 NC Highway 87 S,Sanford,27332,919-775-2351,Public - Call ahead,35.44411,-79.1282,47034
Classic Nissan - Sanford,3305 NC Highway 87 S,Sanford,27332,919-775-2351,Private,35.44411,-79.1282,47035
Pinehurst Nissan,10910 S US Highway 15-501,Southern Pines,28387,910-684-1010,Public - Call ahead,35.161067,-79.421191,47036
Pinehurst Nissan,10910 S US Highway 15-501,Southern Pines,28387,910-684-1010,Private,35.161067,-79.421191,47037
Classic Nissan - Statesville,1244 E Garner Bagnal Blvd,Statesville,28677,704-872-8500,Public - Call ahead,35.770417,-80.858363,47038
Crossroads Nissan - Wake Forest,11120 Capital Blvd,Wake Forest,27587,919-435-5700,Public - Call ahead,35.948971,-78.539171,47040
Crossroads Nissan - Wake Forest,11120 Capital Blvd,Wake Forest,27587,919-435-5700,Private,35.948971,-78.539171,47041
Wilkes Nissan,1933 US Highway 421B,Wilkesboro,28697,336-838-3167,Public - Call ahead,36.149969,-81.202184,47042
Wilkes Nissan,1933 US Highway 421B,Wilkesboro,28697,336-838-3167,Private,36.149969,-81.202184,47043
Capital Nissan - Wilmington,5501 Market St,Wilmington,28405,877-606-5859,Public - Call ahead,34.24769,-77.865815,47044
Capital Nissan - Wilmington,5501 Market St,Wilmington,28405,877-606-5859,Private,34.24769,-77.865815,47045
Lee Nissan,4170 Raleigh Rd Pkwy,Wilson,27896,252-237-4400,Public - Call ahead,35.756003,-77.9753,47046
Lee Nissan,4170 Raleigh Rd Pkwy,Wilson,27896,252-237-4400,Private,35.756003,-77.9753,47047
Modern Nissan,5795 University Pkwy,Winston-Salem,27105,336-767-8260,Public - Call ahead,36.179741,-80.275364,47048
Modern Nissan,5795 University Pkwy,Winston-Salem,27105,336-767-8260,Private,36.179741,-80.275364,47049
East Charlotte Nissan,6901 E Independence Blvd,Charlotte,28227,704-535-4012,Public - Call ahead,35.167774,-80.742259,47117
East Charlotte Nissan,6901 E Independence Blvd,Charlotte,28227,704-535-4012,Private,35.167774,-80.742259,47118
Scott Clark Nissan,9215 S Blvd,Charlotte,28273,704-552-9191,Public - Call ahead,35.111292,-80.881867,47119
Scott Clark Nissan,9215 S Blvd,Charlotte,28273,704-552-9191,Private,35.111292,-80.881867,47120
Haywood Community College,185 Freedlander Dr,Clyde,28721,828-627-2821,Public,35.525966,-82.927696,47121
Modern Nissan - Concord,967 Concord Pkwy S,Concord,28027,704-788-2110,Private,35.392063,-80.622777,47122
Modern Nissan - Lake Norman,18615 Statesville Rd,Cornelius,28031,704-237-5100,Public - Call ahead,35.467117,-80.872205,47123
Modern Nissan - Lake Norman,18615 Statesville Rd,Cornelius,28031,704-237-5100,Private,35.467117,-80.872205,47124
Durham County - Justice Center Parking Deck,510 S Dillard St,Durham,27701,919-560-7999,Public,35.99289,-78.9014,47126
Nissan of Elizabeth City,1712 N Rd St,Elizabeth City,27909,252-338-5161,Public - Call ahead,36.339936,-76.244936,47130
Nissan of Elizabeth City,1712 N Rd St,Elizabeth City,27909,252-338-5161,Private,36.339936,-76.244936,47131
Fred Anderson Nissan,4559 Raeford Rd,Fayetteville,28304,910-758-2338,Private,35.042419,-78.956747,47132
Asheboro Nissan,1635 E Dixie Dr,Asheboro,27203,,Public - Call ahead,35.70458,-79.781748,47184
Asheboro Nissan,1635 E Dixie Dr,Asheboro,27203,,Private,35.70458,-79.781748,47185
Anderson Nissan,629 Brevard Rd,Asheville,28806,828-252-0000,Public - Call ahead,35.547866,-82.599474,47186
Anderson Nissan,629 Brevard Rd,Asheville,28806,828-252-0000,Private,35.547866,-82.599474,47187
Black Mountain Public Safety Building,102 Montreat Rd,Black Mountain,28711,828-419-9350,Public,35.619218,-82.320192,47189
AutoStar Nissan - Boone,135 Innovation Dr,Boone,28607,828-264-7726,Public - Call ahead,36.222859,-81.63402,47190
AutoStar Nissan - Boone,135 Innovation Dr,Boone,28607,828-264-7726,Private,36.222859,-81.63402,47191
Leith Nissan,2100 Auto Park Blvd,Cary,27511,919-589-0029,Public - Call ahead,35.7390019,-78.8138134,47192
Leith Nissan,2100 Auto Park Blvd,Cary,27511,919-589-0029,Private,35.7390019,-78.8138134,47193
Orange County - Robert and Pearl Seymour Center,2551 Homestead Rd,Chapel Hill,27516,919-245-2625,Public,35.950629,-79.063354,47332
Orange County - Skills Development Center,503 W Franklin St,Chapel Hill,27516,919-245-2625,Public,35.909907,-79.06344,47333
Orange County - Durham Technical Community College Park & Ride Lot,525 College Park Dr,Hillsborough,27278,919-245-2625,Public,36.04236,-79.09323,47334
Orange County - West Campus Office Building,131 W Margaret Ln,Hillsborough,27278,919-245-2625,Public,36.073889,-79.100586,47335
Umstead Hotel and Spa,100 Woodland Pond Dr,Cary,27513,919-447-4000,Public,35.82973,-78.7646,47718
Fields Auto Group,255 Smokey Park Hwy,Asheville,28806,828-667-5213,Public - Call ahead,35.562735,-82.63133,48042
Cherokee Welcome Center,498 Tsali Blvd,Cherokee,28719,800-438-1601,Public,35.483554,-83.31624,48044
Boyd Automotive,1875 Spartanburg Hwy,Hendersonville,28792,828-693-3461,Public - Call ahead,35.294913,-82.432913,48045
Asheville Chevrolet,205 Smoky Park Hwy,Asheville,28806,866-688-1210,Public - Credit card at all times,35.563115,-82.630535,48678
Blue Ridge Community College - Spearman Building,2 E Campus Dr,Flat Rock,28731,828-694-1700,Public,35.306506,-82.421425,48682
Nissan of Clinton,412 Southeast Blvd,Clinton,28328,910-590-2005,Public - Call ahead,34.999456,-78.309597,49874
Nissan of Clinton,412 Southeast Blvd,Clinton,28328,910-590-2005,Private,34.999456,-78.309597,49875
Wake Technical Community College,9101 Fayetteville Rd,Raleigh,27603,919-866-5000,Public,35.651689,-78.706233,49881
Town of Southern Pines - Library,170 W Connecticut Ave,Southern Pines,28387,910-692-8235,Public,35.176173,-79.390553,49882
City of Wilmington - Market Street Parking Deck,115 Market St,Wilmington,28401,910-762-5678,Public,34.235678,-77.948353,49883
Buncombe County - Health and Human Services,40 Coxe Ave,Asheville,28801,828-250-4976,Public,35.593656,-82.555258,50172
Buncombe County Interchange Building,59 Woodfin Pl,Asheville,28801,,Private - Government only,35.599429,-82.546527,50392
Orange County - West Campus Office Building,131 W Margaret Ln,Hillsborough,27278,919-245-2625,Public,36.073889,-79.100586,50393
SAS Institute Inc - T,701 SAS Campus Dr,Cary,27513,,Private,35.823796,-78.752235,50688
SAS Institute Inc - C,820 SAS Campus Dr,Cary,27513,,Private,35.817516,-78.751668,50689
Levine Properties,325 E 9th St,Charlotte,28202,704-688-3333,Public,35.228706,-80.834507,50691
McCurry Deck Chevrolet,178 Watkins Dr,Forest City,28043,,Private,35.312853,-81.878889,50697
Gastonia Conference Center,145 Dr MLK Jr Way,Gastonia,28052,704-869-1948,Public,35.262936,-81.182459,50698
West Regional Library,4000 Louis Stephens Dr,Cary,27519,919-463-8500,Public,35.815061,-78.864062,52057
East Regional Library,946 Steeple Square Rd,Knightdale,27545,919-217-5300,Public,35.802473,-78.487298,52058
Woodlawn Funeral Home,375 Woodlawn Ave,Mt. Holly,28120,704-820-0608,Public - Call ahead,35.3041747,-81.0210277,52376
Mooresville Ford,151 E Plaza Dr,Mooresville,28115,704-664-1300,Public,35.589615,-80.834215,53885
Steak 'n Shake,11 Bett Stroud Rd,Weaverville,28787,828-645-0126,Public,35.7027,-82.5758,53887
UNC B-SCHOOL DECK,Kenan Drive,Chapel Hill,27514,888-758-4389,Public,35.900785,-79.046279,58187
Ambiente Modern Furniture,210 Hampton Woods Ln,Raleigh,27607,919-821-7210,Public,35.793985,-78.750329,60264
BMW  ASHEVILLE STATION 01,649 Airport Rd,Fletcher,28732,888-758-4389,Public,35.438431,-82.53562,60789
Fred Anderson Nissan,9225 Glenwood Ave,Raleigh,27617,919-324-3443,Public - Call ahead,35.896757,-78.760671,61410
Fred Anderson Nissan,9225 Glenwood Ave,Raleigh,27617,919-324-3443,Private,35.896757,-78.760671,61411
CROWN BMW STATION 01,3902 Wendover Ave W,Greensboro,27407,888-758-4389,Public,36.060492,-79.877721,61520
GASTON COUNTY VISITOR CENTER,620 N. Main Street,Belmont,28012,888-758-4389,Public,35.2566,-81.042796,61737
GASTON COUNTY LOWELL LIBRARY,203 McAdenville Rd.,Lowell,28098,888-758-4389,Public,35.267294,-81.098034,61738
Echoview Fiber Mill,76 Jupiter Rd,Weaverville,28787,828-348-4864,Public,35.759451,-82.54994,62280
Fields Auto Group,255 Smokey Park Hwy,Asheville,28806,828-667-5213,Private,35.562735,-82.63133,62314
Ben Mynatt Chevrolet Cadillac,281 Concord Pkwy S,Concord,28027,704-786-2151,Public - Call ahead,35.395326,-80.610927,62828
SAS Institute Inc - G,300 Matrix Dr,Cary,27513,,Private,35.823401,-78.76124,63074
SAS Institute Inc - S,600 SAS Campus Dr,Cary,27607,,Private,35.822242,-78.757042,63075
SAS Institute Inc - R,500 SAS Campus Dr,Cary,27513,,Private,35.824815,-78.757352,63076
BSMG NORTH DECK 1,305 Jackson St,Durham,27701,888-758-4389,Public,35.994829,-78.905062,63239
BSMG EAST DECK 3,250 South Mangum Street,Durham,27701,888-758-4389,Public,35.992578,-78.902123,63298
BSMG SOUTH DECK 1,705 Willard Street,Durham,27701,888-758-4389,Public,35.991785,-78.906252,63299
UNC RAMSHEAD 1,104 Ridge Rd,Chapel Hill,27514,888-758-4389,Public,35.906068,-79.045679,63303
UNC CARDINAL DECK 1,Cardinal Deck Skywalk,Chapel Hill,27514,888-758-4389,Public,35.90333,-79.052449,63335
Appalachian State University - Rivers Street Parking Deck,461 Rivers St,Boone,28608,828-262-2878,Public,36.211913,-81.680812,63368
RTP EMC - RTP,62 T W Alexander Drive,Durham,27703,888-758-4389,Public,35.919842,-78.87791,63766
Gaston Courthouse Community Center,131 N Gaston St,Dallas,28034,704-922-3176,Public,35.316002,-81.176575,64399
Asheville Ford,611 Brevard Rd,Asheville,28806,828-253-2731,Private,35.550684,-82.601894,64510
